CompaniesName,Domain,Year,DataIntegrity,DataDisparity,ImprovedStandardisation,ImprovingUtilisationAndITInfrastructure,ImprovedSecurity,ImprovedBusinessIntelligence,ImprovedFlexibility,TechnologyAdvancement,ProvidingDevelopmentAndTestingEnvironment,HeavyProcessingWorkloadsAndPerformance,ITConsolidation,RegularSoftwareUpdatesAndHardwareManitianence,ITRealtedCostBenefit,RemovingOldLegacySytems,ImprovedDataRecoveryAndBackup
Bharti Infratel  and Indus Towers ,Telecomm Industry ,2020,0,0,1,1,0,1,0,1,0,1,0,0,1,0,0
"National Institute of Miners’ Health (NIMH) and National Institute of Occupational Health (NIOH), ",Government,2019,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0
Bank of Baroda Dena Bank and Vijaya Bank,BFSI,2019,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0
Vodafone and Idea,Telecomm Industry ,2018,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0
Tata Steel VS Thyssenkrupp,Steel Industry,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flipkart and E-bay India,E Commerce,2017,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0
TATA Motors and JLR,Automobile,2008,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
Sun Pharmaceutical and Rnabaxy Labrorities,Pharmaceuticals,2014,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0
Amazon and Whole Food Markets,E Commerce,2017,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0
HUL and GSK,FMCG,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tata Steel has and Bhushan Steel (BSL) ,Steel Industry,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kraft Heinz Company  ,FMCG,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sales Force and Slack,Tech0logy,2020,1,0,1,0,1,1,0,1,0,0,1,0,1,0,0
Microsoft and LinkedIN,Tech0logy,2016,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Microsoft and GitHub,Tech0logy,2018,1,0,1,0,1,1,0,1,1,1,1,1,1,0,0
Google and Youtube,Tech0logy,2006,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0
Amazonand PillPack,Pharmaceuticals,2018,1,0,1,1,1,1,1,1,0,0,1,0,0,1,0
Looker and Google,Tech0logy,2019,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0
Apple Dialog Semiconductor,Tech0logy,2018,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Apple Shazam,Tech0logy,2017,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Vodafone Idea and IBM contract,Telecomm Industry ,2018,1,0,1,1,1,1,0,1,0,1,1,0,1,0,0
Chubb and IBM contract,BFSI,2016,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0
Accenture and US Airforce,Government,2015,1,0,1,1,1,1,1,1,0,0,1,0,1,1,0
Atos SE and Post0rd ,Logistics,2012,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0
FNZ and Santander UK,BFSI,2015,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
TCS abd KGI Bank,BFSI,2019,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0
Sales Force and  Emergencias,Healthcare,2019,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
Microsoft & Dayton Childrens Hospital,Healthcare,2020,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0
Infor & Yale new haven health system,Healthcare,2017,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Ultimate Software Group & Deborah Heart ,Healthcare,2012,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Infosys& Dialmer AG,Automobile,2014,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0
HP & Alcatel-Lucent,Telecomm Industry ,2009,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0
NISource and IBM,Resource Industry,2009,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1
"Energy Enterprise Solutions, LLC and US Department of Energy",Government,2008,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0
Ericsson and Hewlett Packard Enterprise Company,Discrete Manufacturing,2003,1,1,1,1,1,0,0,1,0,0,1,0,1,0,0
Florida Department of Transportation (FDOT) and  awarded Xerox,Logistic and Transportation,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TNT Express N.V. Accenture PLC,Logistic and Transportation,2015,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
US Federal Aviation Administration and Computer Sciences Corporation,Logistic and Transportation,2015,1,1,1,1,0,0,0,1,0,0,1,0,1,0,1
Thomas Cook Group plc and Accenture,Logistic and Transportation,2011,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0
Saudi Arabian Airlines and WIPRO,Logistic and Transportation,2008,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1
Scandinavian Airlines System and Tata Consultancy Services Limited,Logistic and Transportation,2012,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0
TotalEnergies SE and TCS,Resource Industry,2018,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0
Rio Tinto  & Orange Business Services ,Resource Industry,2012,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0
Schlumberger and Google Cloud,Resource Industry,2021,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Dimension Data Holdings and OZ Minerals ,Resource Industry,2010,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1
Compania Minera Ares S.A.C. and SAP SE,Resource Industry,2019,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0
Volcan Compania Minera S.A.A. and Adexus S.A,Resource Industry,2014,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
The Gap Inc and  IBM Global Services,Retail,2006,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1
Arcos Dourados Comercio de Alimentos Ltda. And Salesforce,Retail,2018,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Vertex’s IT infrastructure & Cable & Wireless plc (C&W),Professional Services,2010,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0
"Pinnacle Group and Rackspace Hosting, Inc",Professional Services,2015,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
Sensis Holdings Pty Ltd. and Amdocs Limited,Professional Services,2006,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
0rtonLifeLock Inc. and Adobe Systems,Professional Services,2011,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Eversheds Sutherland, LLP and Computacenter",Professional Services,2006,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
Randstad Holdings N.V. and Amazon Web Services,Professional Services,2017,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0
Biffa Group Ltd and Phoenix IT Group,Professional Services,2013,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
Triton Container International Limited and NTT DATA Services,Professional Services,2000,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0
"Spotless Group Limited and Savvis, Inc.",Professional Services,2011,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1
Jacques Whitford Ltd and Xwave Solutions,Professional Services,2006,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Schneider Electric  and IBM,Wholesale,2015,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0
Office Depot Inc. and Capgemini ,Wholesale,2014,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
J D Williams groups limited and IBM Global Services,Wholesale,2015,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Prime Therapeutics and Infosys Public Services,Wholesale,2014,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"Luxottica Group SpA and HP Enterprise Services, LLC",Wholesale,2012,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Sodexo Oy and  TietoEnator Oyj ,Wholesale,2007,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Wajax Corporation and Infor US,Wholesale,2020,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Industrial and Commercial Bank of China (Argentina) and IBM Global Services,Banking,2019,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
Affin Bank Berhad and IBM Global Services,Banking,2007,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
First Horizon Bank and DXC Tech0logy ,Banking,2021,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
US Naval Sea Systems Command and CACI International Inc,Government,2008,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Defense Information Systems Agency and Unisys Corporation,Government,2019,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
State of Ohio Computer Center & IBM Global Services,Government,2013,0,0,1,1,1,1,0,1,0,0,1,0,0,1,0
"Ferrovial, S.A.  Telefonica SA",Construction,2010,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
EDF Energy PLC and Atos,Construction,2012,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0
Balfour Beatty and Fujitsu limited,Construction,2013,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0
Docu Group and  InfraServ GmbH & Co. Gendorf KG,Construction,2014,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0
